pcp,insure,smoke,obese,healthfood,male,lt55,white,edu,unemploy,hhinc,commute,compressor,logMortRate
289,17.42536523,22.6,36,26.21925005,47.17,70.6,25.83,13.21,16.72,25678,31,0,-0.616186139
224,15.67927383,13.8,33,19.21284519,45.91,71.09,16.47,19.37,18.76,30254,22,0,-0.597837001
2019,14.97218885,18.3,26.3,8.104519215,48.95,75.08,69.03,38.64,9.58,58203,21,0,-0.673344553
795,17.65151515,16.8,34.4,15.13906741,46.61,68.42,46.97,15.96,11.03,33714,23,1,-0.653926467
449,17.34914232,26.9,42.3,0.636106872,49.63,66.81,93.93,11.09,11.42,33819,24,1,-0.634878272
524,21.46173884,27.7,35.1,6.560730718,49.19,72.16,92.52,16.14,9.46,39473,24,0,-0.562118918
3897,18.57548389,23.8,30.7,10.58853877,47.89,73.67,60.24,21.41,11.08,43844,24,1,-0.653926467
318,18.39659789,20.7,34.6,16.94656222,47.87,69.15,55.25,12.49,18.79,30569,25,0,-0.673344553
1766,16.46127031,19.2,29.3,11.28174783,47.55,75.67,39.37,31.27,8.92,44830,20,0,-0.634878272
541,18.53893593,23.9,30.1,3.512085644,49.13,72.2,82.73,19.87,10.85,45341,24,0,-0.616186139
253,19.59724951,25.9,33.5,5.596648102,46.45,70.16,30.48,9.09,17.98,25528,27,0,-0.527632742
321,17.62699014,18.1,34.7,2.121777885,48.2,68.44,56.1,9.62,16.73,29839,31,1,-0.616186139
403,20.32856504,18.3,32.6,5.774621509,47.52,75.63,58.7,23.59,9.89,32798,19,0,-0.562118918
311,18.74497184,28.1,34.9,2.046915454,48.81,67.81,76.97,12.41,11.39,36498,28,1,-0.634878272
305,17.66908594,23.9,35.2,7.799166131,48.55,76.02,53.72,15.46,12.36,36066,24,1,-0.634878272
590,15.8858351,27.2,34,1.162896577,50.03,73.03,88.11,15.48,9.47,51317,30,1,-0.653926467
1400,12.08035657,18,24.5,3.818115576,48.74,75.84,81.78,40.19,6.24,69723,29,0,-0.798507696
324,17.91345801,17,31.2,10.57902373,45.08,70.79,24.73,15.02,16.66,22865,23,1,-0.693147181
1008,15.74499057,23.1,36,5.940251192,48.64,71.28,65.21,12.45,14.88,35896,24,0,-0.634878272
560,15.7163463,26.7,32.1,4.839763299,48.39,66.97,70.41,17.6,10.28,38644,24,0,-0.693147181
2616,14.90047439,21.7,28.5,7.374706098,48.33,77.64,66.55,27.73,8.2,46448,22,1,-0.713349888
955,16.83942997,27.7,38.4,3.875936132,48.64,68.74,90.96,10.71,13.07,36712,29,0,-0.597837001
196,18.19919448,19.5,32.1,3.467767943,49.65,70.29,65.5,10.26,19.76,44731,32,0,-0.597837001
284,22.02466598,18.9,33,27.56702253,46.94,69.56,27.11,11.52,21.63,23406,22,0,-0.562118918
294,18.13479309,22.8,35.1,1.452109682,48.62,66.54,96.18,11.1,10.13,34064,28,0,-0.634878272
245,16.77368969,26.1,37.3,0.358371226,48.1,66.12,87.33,11.38,9.66,36021,25,0,-0.616186139
322,19.66014748,22,39.2,7.922580215,48.16,68.43,72.33,13.88,7.69,37813,15,0,-0.653926467
237,19.30637775,29.9,37.4,11.29593563,48.18,69.36,70.55,12.74,11.99,35136,19,1,-0.544727175
622,20.37963058,23.9,30.9,5.417412457,47.98,55.29,96.78,17.42,9.06,35594,17,0,-0.616186139
523,19.78186413,14.6,33,10.75854712,48.71,67.87,96.44,15.15,9.32,38705,20,0,-0.579818495
128,25.62647248,14.1,34.3,4.695199342,48.94,68.9,60.4,11.19,7.26,33745,21,0,-0.579818495
70,21.314258,35,36.4,31.88214547,52.03,66.39,73.97,10.61,7.47,35000,25,0,-0.579818495
2634,18.92012201,16.8,26.6,6.33760408,49.49,77.26,87.86,29.58,4.96,56325,20,0,-0.713349888
219,21.6741573,36.2,35,2.948822275,48.85,67.39,42.16,11.3,12.04,28086,20,0,-0.527632742
221,21.11584428,11.9,31.8,3.912026831,47.34,73.54,73.27,22.34,10.36,34109,21,1,-0.693147181
